"","Measure","Attribute","Value","Category","Date"
"258","Regular Vessels (less than 91' beam)","Available","240","Booking Slots",2018-05-01
"259","Regular Vessels (up to 300' in length)","Available","2","Booking Slots",2018-05-01
"260","Auctioned booking slots","Available","16","Booking Slots",2018-05-01
"261","Neopanamax Vessels (107’ beam and Over)","Used","153","Booking Slots",2018-05-01
"262","Large Vessels (91’ beam to under 107’ beam)","Used","3781","Booking Slots",2018-05-01
"263","Regular Vessels (less than 91' beam)","Used","1621","Booking Slots",2018-05-01
"264","Regular Vessels (up to 300' in length)","Used","2","Booking Slots",2018-05-01
"265","Auctioned booking slots","Used","10","Booking Slots",2018-05-01
"266","Neopanamax Vessels (107’ beam and Over)","Percentage","6322","Booking Slots",2018-05-01
"267","Large Vessels (91’ beam to under 107’ beam)","Percentage","8438","Booking Slots",2018-05-01
"268","Regular Vessels (less than 91' beam)","Percentage","6750","Booking Slots",2018-05-01
"269","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2018-05-01
"270","Auctioned booking slots","Percentage","6250","Booking Slots",2018-05-01
"271","Neopanamax Vessels (beam 107' and over)","Available","180","Booking Slots",2017-06-01
"272","Large Vessels (91' to 107’ beam)","Available","428","Booking Slots",2017-06-01
"273","Regular Vessels (beam less than 91')","Available","222","Booking Slots",2017-06-01
"274","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2017-06-01
"275","Auctioned booking slots","Available","5","Booking Slots",2017-06-01
"276","Neopanamax Vessels (beam 107' and over)","Used","141","Booking Slots",2017-06-01
"277","Large Vessels (91' to 107’ beam)","Used","3081","Booking Slots",2017-06-01
"278","Regular Vessels (beam less than 91')","Used","1111","Booking Slots",2017-06-01
"279","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2017-06-01
"280","Auctioned booking slots","Used","1","Booking Slots",2017-06-01
"281","Neopanamax Vessels (beam 107' and over)","Percentage","7833","Booking Slots",2017-06-01
"282","Large Vessels (91' to 107’ beam)","Percentage","7196","Booking Slots",2017-06-01
"283","Regular Vessels (beam less than 91')","Percentage","5000","Booking Slots",2017-06-01
"284","Regular Vessels (up to 300' in length)","Percentage","000","Booking Slots",2017-06-01
"285","Auctioned booking slots","Percentage","2000","Booking Slots",2017-06-01
"286","Neopanamax Vessels (beam 107' and over)","Available","186","Booking Slots",2017-07-01
"287","Large Vessels (91' to 107’ beam)","Available","465","Booking Slots",2017-07-01
"288","Regular Vessels (beam less than 91')","Available","248","Booking Slots",2017-07-01
"289","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2017-07-01
"290","Auctioned booking slots","Available","10","Booking Slots",2017-07-01
"291","Neopanamax Vessels (beam 107' and over)","Used","145","Booking Slots",2017-07-01
"292","Large Vessels (91' to 107’ beam)","Used","3931","Booking Slots",2017-07-01
"293","Regular Vessels (beam less than 91')","Used","1501","Booking Slots",2017-07-01
"294","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2017-07-01
"295","Auctioned booking slots","Used","3","Booking Slots",2017-07-01
"296","Neopanamax Vessels (beam 107' and over)","Percentage","7796","Booking Slots",2017-07-01
"297","Large Vessels (91' to 107’ beam)","Percentage","8452","Booking Slots",2017-07-01
"298","Regular Vessels (beam less than 91')","Percentage","6048","Booking Slots",2017-07-01
"299","Regular Vessels (up to 300' in length)","Percentage","000","Booking Slots",2017-07-01
"300","Auctioned booking slots","Percentage","3000","Booking Slots",2017-07-01
"301","Neopanamax Vessels (107’ beam and Over)","Available","240","Booking Slots",2018-06-01
"302","Large Vessels (91’ beam to under 107’ beam)","Available","423","Booking Slots",2018-06-01
"303","Regular Vessels (less than 91' beam)","Available","216","Booking Slots",2018-06-01
"304","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2018-06-01
"305","Auctioned booking slots","Available","8","Booking Slots",2018-06-01
"306","Neopanamax Vessels (107’ beam and Over)","Used","153","Booking Slots",2018-06-01
"307","Large Vessels (91’ beam to under 107’ beam)","Used","3081","Booking Slots",2018-06-01
"308","Regular Vessels (less than 91' beam)","Used","1271","Booking Slots",2018-06-01
"309","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2018-06-01
"310","Auctioned booking slots","Used","1","Booking Slots",2018-06-01
"311","Neopanamax Vessels (107’ beam and Over)","Percentage","6375","Booking Slots",2018-06-01
"312","Large Vessels (91’ beam to under 107’ beam)","Percentage","7281","Booking Slots",2018-06-01
"313","Regular Vessels (less than 91' beam)","Percentage","5880","Booking Slots",2018-06-01
"314","Regular Vessels (up to 300' in length)","Percentage","000","Booking Slots",2018-06-01
"315","Auctioned booking slots","Percentage","1250","Booking Slots",2018-06-01
"316","Neopanamax Vessels (107’ beam and Over)","Available","240","Booking Slots",2019-06-01
"317","Large Vessels (91’ beam to under 107’ beam)","Available","450","Booking Slots",2019-06-01
"318","Regular Vessels (less than 91' beam)","Available","240","Booking Slots",2019-06-01
"319","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2019-06-01
"320","Auctioned booking slots","Available","1","Booking Slots",2019-06-01
"321","Neopanamax Vessels (107’ beam and Over)","Used","187","Booking Slots",2019-06-01
"322","Large Vessels (91’ beam to under 107’ beam)","Used","2561","Booking Slots",2019-06-01
"323","Regular Vessels (less than 91' beam)","Used","991","Booking Slots",2019-06-01
"324","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2019-06-01
"325","Auctioned booking slots","Used","0","Booking Slots",2019-06-01
"326","Neopanamax Vessels (107’ beam and Over)","Percentage","7792","Booking Slots",2019-06-01
"327","Large Vessels (91’ beam to under 107’ beam)","Percentage","5689","Booking Slots",2019-06-01
"328","Regular Vessels (less than 91' beam)","Percentage","4125","Booking Slots",2019-06-01
"329","Regular Vessels (up to 300' in length)","Percentage","0","Booking Slots",2019-06-01
"330","Auctioned booking slots","Percentage","0","Booking Slots",2019-06-01
"331","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2018-07-01
"332","Large Vessels (91’ beam to under 107’ beam)","Available","465","Booking Slots",2018-07-01
"333","Regular Vessels (less than 91' beam)","Available","248","Booking Slots",2018-07-01
"334","Regular Vessels (up to 300' in length)","Available","1","Booking Slots",2018-07-01
"335","Auctioned booking slots","Available","1","Booking Slots",2018-07-01
"336","Neopanamax Vessels (107’ beam and Over)","Used","177","Booking Slots",2018-07-01
"337","Large Vessels (91’ beam to under 107’ beam)","Used","2941","Booking Slots",2018-07-01
"338","Regular Vessels (less than 91' beam)","Used","961","Booking Slots",2018-07-01
"339","Regular Vessels (up to 300' in length)","Used","1","Booking Slots",2018-07-01
"340","Auctioned booking slots","Used","0","Booking Slots",2018-07-01
"341","Neopanamax Vessels (107’ beam and Over)","Percentage","7137","Booking Slots",2018-07-01
"342","Large Vessels (91’ beam to under 107’ beam)","Percentage","6323","Booking Slots",2018-07-01
"343","Regular Vessels (less than 91' beam)","Percentage","3871","Booking Slots",2018-07-01
"344","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2018-07-01
"345","Auctioned booking slots","Percentage","000","Booking Slots",2018-07-01
"346","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2019-07-01
